Name,Brand,Category,Price,Rating,Ingredients,Description,price_category,dry_skin_compatibility,oily_skin_compatibility,sensitive_skin_compatibility,combination_skin_compatibility,normal_skin_compatibility
Estee Lauder Eyeshadow Focus,Estee Lauder,Eyeshadow,6.08,3.9,Niacinamide Glycerin Vitamin E Glycerin Ceramides Hyaluronic Acid Glycolic Acid,A soothing and pore minimizing eyeshadow enriched with Niacinamide and Glycerin,budget,1.0,0.5,0.0,1.0,0.5
Innisfree Concealer Student,Innisfree,Concealer,9.86,4.7,Vitamin C Vitamin E Zinc Coenzyme Q10 Hyaluronic Acid Antioxidants Avocado Oil,A brightening and revitalizing concealer enriched with Vitamin C and Vitamin E,budget,0.5,0.5,0.0,1.0,1.0
The Ordinary Sunscreen Thought,The Ordinary,Sunscreen,65.25,3.7,Shea Butter Glycerin Jojoba Oil Squalane Centella Asiatica Avocado Oil,A mattifying and anti aging sunscreen enriched with Shea Butter and Glycerin,premium,1.0,0.0,0.5,1.0,0.0
Tatcha Serum Family,Tatcha,Serum,57.67,3.0,Salicylic Acid Glycolic Acid Charcoal Kaolin Vitamin E,A hydrating and anti aging serum enriched with Salicylic Acid and Glycolic Acid,premium,0.0,1.0,0.0,0.5,0.5
Maybelline Eyeshadow Customer,Maybelline,Eyeshadow,14.34,3.2,Aloe Vera Ceramides Hyaluronic Acid Antioxidants,A soothing and pore minimizing eyeshadow enriched with Aloe Vera and Ceramides,budget,1.0,0.0,0.5,1.0,1.0
Tatcha Sunscreen Never,Tatcha,Sunscreen,56.57,4.1,Aloe Vera Chamomile Allantoin Centella Asiatica Madecassoside,A soothing and anti aging sunscreen enriched with Aloe Vera and Chamomile,premium,0.5,0.0,1.0,0.5,0.5
Neutrogena Concealer Per,Neutrogena,Concealer,87.48,3.0,Green Tea Glycerin Antioxidants,A calming and nourishing concealer enriched with Green Tea and Glycerin,luxury,0.5,0.0,0.5,0.5,0.5
Estee Lauder Blush Nation,Estee Lauder,Blush,62.27,3.3,Squalane Avocado Oil Ceramides Vitamin E Glycerin Kaolin Jojoba Oil Argan Oil,A anti aging and calming blush enriched with Squalane and Avocado Oil,premium,1.0,0.0,0.0,1.0,0.5
Estee Lauder Moisturizer Anything,Estee Lauder,Moisturizer,78.09,3.7,Hyaluronic Acid Squalane Jojoba Oil Aloe Vera Ceramides Aloe Vera Glycerin,A pore minimizing and mattifying moisturizer enriched with Hyaluronic Acid and Squalane,luxury,1.0,0.0,0.5,1.0,0.5
Glossier Sunscreen Much,Glossier,Sunscreen,12.04,4.5,Chamomile Panthenol Madecassoside Centella Asiatica,A brightening and anti aging sunscreen enriched with Chamomile and Panthenol,budget,0.0,0.0,1.0,0.0,0.0
Innisfree Cleanser Environment,Innisfree,Cleanser,25.06,4.1,Tea Tree Oil Glycerin Glycolic Acid Charcoal Witch Hazel Clay Zinc,A clarifying and hydrating cleanser enriched with Tea Tree Oil and Glycerin,budget,0.5,1.0,0.0,0.5,0.0
Innisfree Cleanser Hold,Innisfree,Cleanser,71.19,4.1,Jojoba Oil Madecassoside Hyaluronic Acid Ceramides,A calming and soothing cleanser enriched with Jojoba Oil and Madecassoside,luxury,1.0,0.0,0.0,1.0,0.0
Fenty Beauty Serum Nature,Fenty Beauty,Serum,50.13,4.7,Vitamin E Aloe Vera Hyaluronic Acid Ceramides Avocado Oil Glycerin,A anti aging and clarifying serum enriched with Vitamin E and Aloe Vera,premium,1.0,0.0,0.5,1.0,1.0
Rare Beauty Lipstick Perform,Rare Beauty,Lipstick,11.65,4.8,Hyaluronic Acid Vitamin E,A anti aging and nourishing lipstick enriched with Hyaluronic Acid and Vitamin E,budget,0.5,0.0,0.0,1.0,0.5
NYX Blush White,NYX,Blush,66.28,4.1,Niacinamide Coenzyme Q10 Antioxidants Peptides Green Tea,A anti aging and revitalizing blush enriched with Niacinamide and Coenzyme Q10,premium,0.0,0.5,0.5,0.5,1.0
Fenty Beauty Lipstick Media,Fenty Beauty,Lipstick,11.97,4.2,Green Tea Jojoba Oil Witch Hazel Ceramides,A pore minimizing and hydrating lipstick enriched with Green Tea and Jojoba Oil,budget,1.0,0.5,0.5,0.5,0.0
NYX Moisturizer Time,NYX,Moisturizer,61.2,3.9,Hyaluronic Acid Glycolic Acid Clay Zinc Witch Hazel,A calming and nourishing moisturizer enriched with Hyaluronic Acid and Glycolic Acid,premium,0.5,1.0,0.0,0.5,0.0
Innisfree Mask Expert,Innisfree,Mask,77.95,4.9,Chamomile Panthenol Madecassoside Allantoin,A nourishing and mattifying mask enriched with Chamomile and Panthenol,luxury,0.0,0.0,1.0,0.0,0.0
The Ordinary Lipstick Raise,The Ordinary,Lipstick,69.47,3.9,Ceramides Argan Oil Hyaluronic Acid Jojoba Oil Kaolin Vitamin E Aloe Vera,A calming and clarifying lipstick enriched with Ceramides and Argan Oil,luxury,1.0,0.0,0.5,1.0,1.0
NYX Sunscreen Western,NYX,Sunscreen,24.52,4.6,Retinol Shea Butter Aloe Vera Squalane Ceramides Hyaluronic Acid,A revitalizing and clarifying sunscreen enriched with Retinol and Shea Butter,budget,1.0,0.0,0.5,1.0,0.5
Tatcha Concealer Either,Tatcha,Concealer,84.63,4.2,Aloe Vera Aloe Vera Vitamin E Ceramides Avocado Oil Shea Butter,A calming and brightening concealer enriched with Aloe Vera and Aloe Vera,luxury,1.0,0.0,0.5,1.0,1.0
Neutrogena Sunscreen Expect,Neutrogena,Sunscreen,24.58,4.3,Ceramides Squalane Centella Asiatica Aloe Vera,A brightening and pore minimizing sunscreen enriched with Ceramides and Squalane,budget,1.0,0.0,1.0,0.5,0.5
Clinique Moisturizer Performance,Clinique,Moisturizer,17.57,3.3,Oatmeal Hyaluronic Acid Ceramides,A pore minimizing and hydrating moisturizer enriched with Oatmeal and Hyaluronic Acid,budget,1.0,0.0,0.5,0.5,0.0
The Ordinary Serum Change,The Ordinary,Serum,56.59,4.1,Zinc Niacinamide Salicylic Acid Ceramides,A calming and pore minimizing serum enriched with Zinc and Niacinamide,premium,0.5,1.0,0.0,0.5,0.0
Glossier Foundation Table,Glossier,Foundation,60.61,4.6,Avocado Oil Bisabolol Calendula Allantoin Centella Asiatica Panthenol Chamomile,A mattifying and revitalizing foundation enriched with Avocado Oil and Bisabolol,premium,0.0,0.0,1.0,0.0,0.0
Rare Beauty Lipstick Remain,Rare Beauty,Lipstick,74.66,4.2,Jojoba Oil Centella Asiatica Glycolic Acid Kaolin Clay,A clarifying and hydrating lipstick enriched with Jojoba Oil and Centella Asiatica,luxury,0.5,0.5,0.5,0.5,0.0
Estee Lauder Lipstick Appear,Estee Lauder,Lipstick,32.42,3.1,Vitamin E Squalane Glycerin Coenzyme Q10 Aloe Vera Ceramides,A hydrating and clarifying lipstick enriched with Vitamin E and Squalane,affordable,1.0,0.0,0.5,1.0,1.0
Fenty Beauty Blush Many,Fenty Beauty,Blush,77.52,4.3,Panthenol Bisabolol Allantoin,A calming and anti aging blush enriched with Panthenol and Bisabolol,luxury,0.0,0.0,0.5,0.0,0.0
Tatcha Mask Stock,Tatcha,Mask,19.48,3.1,Vitamin E Argan Oil Avocado Oil Bisabolol Glycerin Squalane,A soothing and anti aging mask enriched with Vitamin E and Argan Oil,budget,1.0,0.0,0.0,1.0,0.5
Glossier Serum Onto,Glossier,Serum,68.62,3.8,Hyaluronic Acid Vitamin E Zinc Antioxidants Ceramides Niacinamide Vitamin C,A mattifying and brightening serum enriched with Hyaluronic Acid and Vitamin E,premium,1.0,1.0,0.0,1.0,1.0
